KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
52110002,81.245,4.74,2.0,3,6.25,3.23,39.5,100.0,100.0
0701990016,83.43,7.14,1.0,1,7.14,7.14,14.0,100.0,100.0
1201980031,78.71,3.92,2.0,2,3.92,3.92,51.0,100.0,100.0
0510200001,87.07,8.1,3.5,4,8.51,7.69,43.0,100.0,100.0
2700020001,82.85499999999999,4.640000000000001,2.0,3,7.32,1.96,46.0,100.0,100.0
0808130001,79.97,0.0,0.0,0,0.0,0.0,38.5,100.0,100.0
0208480001,76.87,4.125,1.0,1,4.55,3.7,24.5,100.0,100.0
0510300001,81.72,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
2201990036,76.38,0.0,0.0,0,0.0,0.0,180.0,100.0,100.0
1401980015,82.29,2.44,1.0,1,2.44,2.44,41.0,100.0,100.0
2701000017,85.42,9.68,3.0,3,9.68,9.68,31.0,100.0,100.0
1500220004R,81.02,10.2,2.5,4,18.18,2.22,33.5,100.0,100.0
2205630001,86.0,6.45,4.0,4,6.45,6.45,62.0,100.0,100.0
1401980011,70.57,0.0,0.0,0,0.0,0.0,41.0,100.0,100.0
2201990013,79.11,3.7,1.0,1,3.7,3.7,27.0,100.0,100.0
12000100,71.64,2.3066666666666666,1.3333333333333333,3,5.45,0.0,57.666666666666664,100.0,100.0
0710320001,80.0,0.0,0.0,0,0.0,0.0,14.0,100.0,100.0
2701000014,70.89,7.21,14.0,14,7.21,7.21,191.0,100.0,100.0
0501990039,85.5,11.11,2.0,2,11.11,11.11,18.0,100.0,100.0
0710390001,83.86500000000001,5.41,1.0,1,5.56,5.26,18.5,100.0,100.0
0711400001,82.83,0.0,0.0,0,0.0,0.0,6.0,100.0,100.0
1905450001,65.24333333333333,1.5866666666666667,0.6666666666666666,2,4.76,0.0,34.0,100.0,100.0
0711280001,84.75,0.0,0.0,0,0.0,0.0,8.0,100.0,100.0
1901990044,69.23,8.33,9.0,9,8.33,8.33,113.0,100.0,100.0
1229910001,76.65,7.0,3.0,3,10.0,4.0,52.0,100.0,100.0
6400910001,86.13,11.345,2.5,3,15.0,7.69,22.5,100.0,100.0
1229760001,78.89500000000001,0.945,0.5,1,1.89,0.0,48.5,100.0,100.0
1905460001,65.78,5.05,9.0,9,5.05,5.05,169.0,100.0,100.0
1230010001,84.14500000000001,8.01,1.0,1,8.33,7.69,12.5,100.0,100.0
1504520001,83.29333333333334,65.22,195.33333333333334,231,80.49,55.97,300.6666666666667,100.0,100.0
1101260001R,87.8,60.0,3.0,3,60.0,60.0,5.0,100.0,100.0
5300730001,79.975,0.0,0.0,0,0.0,0.0,100.0,100.0,100.0
1801310001R,84.59,29.41,5.0,5,29.41,29.41,17.0,100.0,100.0
0701990015,82.49,0.0,0.0,0,0.0,0.0,41.0,100.0,100.0
5201800001,79.3,1.71,0.6666666666666666,2,5.13,0.0,28.666666666666668,100.0,100.0
2002750001,78.4,0.0,0.0,0,0.0,0.0,15.0,100.0,100.0
1229720001,78.36,4.26,2.0,2,4.26,4.26,47.0,100.0,100.0
2401160001,82.24,7.574999999999999,5.5,8,10.53,4.62,70.5,100.0,100.0
0301990007,87.4,20.0,4.0,4,20.0,20.0,20.0,100.0,100.0
0901970010,81.46,0.0,0.0,0,0.0,0.0,35.0,100.0,100.0
1501990011,80.79,0.0,0.0,0,0.0,0.0,24.0,100.0,100.0
