teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222050619000201,0506190002,角色造型设计,李冰,艺术学部,1-9周 星期四 第1-4节 艺术学院L7-720,2,36,粤海校区
202120222050626000101,0506260001,影视特效,徐海川,艺术学部,"9-17周 星期二 第1-3节 艺术学院L7-518,9-17周 星期四 第1-3节 未排地点",2,54,粤海校区
202120222050627000101,0506270001,数字音效,姚哲男,艺术学部,1-9周 星期三 第7-10节 艺术学院L7-720,2,36,粤海校区
202120222050640000101,0506400001,文化创意产业管理,付蓉,艺术学部,4-17周 星期四 第7-10节 艺术学院L7-715,2,54,粤海校区
202120222050653000101,0506530001,互动媒体设计基础,李晓峰,艺术学部,"10-16周 星期二 第7-10节 艺术学院L7-613,10-16周 星期五 第7-10节 艺术学院L7-613",2,54,粤海校区
202120222050663000101,0506630001,会展项目策划,韩晗,艺术学部,1-9周 星期一 第7-10节 艺术学院L7-417,2,36,粤海校区
202120222050670000101,0506700001,新媒体项目策划,张牧,艺术学部,1-14周 星期五 第1-4节 艺术学院L7-417,2,54,粤海校区
202120222050672000101,0506720001,服装品牌概论,齐冀,艺术学部,1-9周 星期四 第1-4节 艺术学院L7-725,2,36,粤海校区
202120222050674000201,0506740002,创意策划与专业英语,王远,艺术学部,9-17周 星期二 第7-10节 艺术学院L7-722,2,36,粤海校区
202120222050682000101,0506820001,数字媒体叙事,高飞,艺术学部,"9-17周 星期一 第7-9节 艺术学院L7-517,9-17周 星期三 第7-9节 艺术学院L7-517",2,54,粤海校区
202120222050695000102,0506950001,专业论文写作,麦坚,艺术学部,9-17周 星期一 第7-10节 艺术学院L7-717,2,36,粤海校区
202120222050699000101,0506990001,服装设计（二）,张立川,艺术学部,"1-7周 星期五 第1-4节 艺术学院L7-716,1-7周 星期三 第1-4节 艺术学院L7-716",2,54,粤海校区
202120222050700000101,0507000001,服装结构与工艺（二）,赵远方,艺术学部,"9-17周 星期二 第1-4节 艺术学院L7-112A,9-17周 星期四 第1-4节 艺术学院L7-112A",3,72,粤海校区
202120222050703000101,0507030001,服装设计企划,齐冀,艺术学部,"9-17周 星期三 第1-4节 艺术学院L7-716,9-17周 星期一 第1-4节 艺术学院L7-716",3,72,粤海校区
202120222050704000101,0507040001,服装结构与工艺（四）,赵远方,艺术学部,"1-7周 星期二 第1-4节 艺术学院L7-112A,1-7周 星期四 第1-4节 艺术学院L7-112A",2,54,粤海校区
202120222050716000101,0507160001,当代视觉艺术赏析,黄以然,艺术学部,1-14周 星期三 第11-14节 艺术学院L7-717,2,54,粤海校区
202120222050721000101,0507210001,城市品牌项目策划,王昕,艺术学部,1-9周 星期四 1-4节 艺术学院L7-716,2,36,粤海校区
202120222050726000101,0507260001,文化项目管理,韩晗,艺术学部,1-14周 星期四 第7-10节 艺术学院L7-512A,2,54,粤海校区
202120222050731000101,0507310001,文化消费者行为学,王远,艺术学部,"1-7周 星期五 第7-10节 未排地点,1-7周 星期三 第7-10节 艺术学院L7-722",2,54,粤海校区
202120222050733000101,0507330001,广告设计,张毅,艺术学部,1-14周 星期三 第7-10节 艺术学院L7-417,3,54,粤海校区
202120222051028000101,0510280001,中外艺术通史（2）,赵永恒,艺术学部,1-18周 星期二 第7-8节 师院A307,2,36,粤海校区
202120222051033000101,0510330001,舞台戏剧表演艺术（2）,肖鹿,艺术学部,1-18周 星期五 第7-10节 舞2室,2.5,72,粤海校区
202120222051037000101,0510370001,风格性舞蹈（2）,邓肯,艺术学部,1-18周 星期三 第9-10节 舞2室,1.5,36,粤海校区
202120222051039000101,0510390001,舞美与灯光设计,费虹宪,艺术学部,1-18周 星期二 第9-10节 师院A305,1.5,36,粤海校区
202120222051043000101,0510430001,语言艺术（2）,邓肯,艺术学部,1-18周 星期四 第9-10节 舞1室,1.5,36,粤海校区
202120222051044000101,0510440001,百老汇爵士舞（2）,邓肯,艺术学部,1-18周 星期二 第11-12节 舞2室,1.5,36,粤海校区
202120222051046000101,0510460001,音乐剪辑与制作,邓力,艺术学部,1-18周 星期三 第7-8节 师院B304,1.5,36,粤海校区
202120222051054000101,0510540001,钢琴弹唱（2）,秦艺航,艺术学部,1-18周 星期一 第7-8节 师院B304,1.5,36,粤海校区
202120222051055000101,0510550001,艺术管理学,宗祖盼,艺术学部,1-18周 星期一 第3-4节 师院A504,2,36,粤海校区
202120222051056000101,0510560001,音乐录音与舞台音响艺术,尚晖,艺术学部,1-18周 星期一 11-12节 师院B(M04),1.5,36,粤海校区
202120222051057000101,0510570001,综合艺术教学法,李琼,艺术学部,1-18周 星期三 3-4节 师院A512,1.5,36,粤海校区
202120222051061000101,0510610001,剧目编创与导演（2）,邓肯,艺术学部,1-18周 星期三 第11-14节 舞2室,2.5,72,粤海校区
202120222051062000101,0510620001,声乐科学发声方法（2）,"刘筱悦,谭思梅",艺术学部,"1-18周 星期一 第9-10节 师院B(M01),1-18周 星期四 第11-12节 师院B(M01)",2.5,72,粤海校区
202120222051063000101,0510630001,音乐剧演唱（2）,刘筱悦,艺术学部,1-18周 星期四 第9-10节 师院B(M01),1.5,36,粤海校区
202120222051070000101,0510700001,多元艺术创意实践（3）,邓肯,艺术学部,1-18周 星期五 第7-8节 师院B(D03),1.5,36,粤海校区
202120222051071000101,0510710001,经典剧目与赏析(2),,艺术学部,1-18周 星期三 第11-12节 舞1室,1.5,36,粤海校区
2021202220511000101,05110001,传播伦理学,赵永恒,艺术学部,1-18周 星期一 第3-4节 师院A308,2,36,粤海校区
202120222080104000201,0801040002,跨文化传播,刘一辰,艺术学部,1-18周 星期三 第7-8节 师院A308,2,36,粤海校区
202120222080402000101,0804020001,传媒英语,张华麟,艺术学部,1-18周 星期二 第7-8节 致理楼L1-401,2,36,粤海校区
202120222080493000101,0804930001,播音主持艺术发展史,王晓航,艺术学部,1-18周 星期一 第9-10节 致理楼L1-401,2,36,粤海校区
202120222080540000101,0805400001,播音主持艺术导论,延鹏,艺术学部,1-18周 星期五 第11-12节 致理楼L1-401,2,36,粤海校区
202120222080553000101,0805530001,普通话语音与科学发声,肖鹿,艺术学部,1-18周 星期五 第11-12节 师院B110,2,36,粤海校区
202120222080556000101,0805560001,节目主持（2）,王婷,艺术学部,"7-18周 星期三 第3-5节 传播学院L7-606,1-6周 星期三 第3-5节 师院A510",2,54,粤海校区
202120222080556000102,0805560001,节目主持（2）,延鹏,艺术学部,"7-18周 星期一 第8-10节 传播学院L7-610,1-6周 星期一 第8-10节 致理楼L1-401",2,54,粤海校区
202120222080559000101,0805590001,出镜现场报道,张庆,艺术学部,"7-18周 星期三 第7-9节 传播学院L7-606,1-6周 星期三 第7-9节 致理楼L1-401",2,54,粤海校区
